scenario,rep,method,SHD,F1,Precision,Recall,n_oriented,Dir_Prec,Dir_Rec,Dir_F1,Comm,Runtime
p20_N5000,13,local,27.4,0.6208930649973077,0.6768362773165835,0.5743589742117028,0,0.0,0.0,0.33436471735397955,8000,8.814319610595703
p20_N5000,14,local,20.2,0.6886096479911201,0.6994109738482376,0.6787878785821854,0,0.0,0.0,0.46107325562687,8000,4.052644968032837
p20_N5000,15,local,16.4,0.7630691961385642,0.8216967082072081,0.7135135133206719,0,0.0,0.0,0.33719948500174224,8000,4.9658362865448
p20_N5000,16,local,27.8,0.5728770826906684,0.6030357140891149,0.5470588233685121,0,0.0,0.0,0.29984495739347206,8000,5.02398681640625
p20_N5000,17,local,35.4,0.5424450316388639,0.6486744373160105,0.4666666665629629,0,0.0,0.0,0.33492315566684894,8000,7.151570796966553
p20_N5000,18,local,14.8,0.7798849854021047,0.7901515149127856,0.7705882350674741,0,0.0,0.0,0.5634141471975767,8000,2.711651563644409
p20_N5000,19,local,14.4,0.7756724866890454,0.822712132412048,0.7352941174307959,0,0.0,0.0,0.45352227406767404,8000,3.857212543487549
p20_phi0.1,0,local,9.8,0.8092185442483982,0.7597905488916193,0.8666666663055554,0,0.0,0.0,0.6629387677151488,8000,1.7527122497558594
p20_phi0.1,1,local,4.4,0.8769551274921324,0.7984370011844428,0.9749999993906251,0,0.0,0.0,0.6591264314526676,8000,1.660806655883789
p20_phi0.1,2,local,6.4,0.8582079807347014,0.8374891771261435,0.8818181814173552,0,0.0,0.0,0.5924374744181329,8000,1.6635515689849854
p20_phi0.1,3,local,1.8,0.9532990425458555,0.9123308266035697,0.9999999994444444,0,0.0,0.0,0.6408614323946422,8000,1.448136568069458
p20_phi0.1,4,local,1.2,0.9660317404890779,0.9345029234626724,0.9999999994117645,0,0.0,0.0,0.6659340608542748,8000,1.596496343612671
p20_phi0.1,5,local,2.6,0.8487409641730427,0.7427777769761266,0.9999999985714286,0,0.0,0.0,0.4274303421997644,8000,0.8679687976837158
p20_phi0.1,6,local,6.2,0.8443151915853185,0.8083549779655353,0.8842105258504155,0,0.0,0.0,0.5668965467474119,8000,1.729325294494629
p20_phi0.1,7,local,0.6,0.9837837782481941,0.9684210521101877,0.9999999994444444,0,0.0,0.0,0.818064510741866,8000,1.2015173435211182
p20_phi0.1,8,local,2.8,0.9375218256459584,0.8913359679962299,0.9904761900045351,0,0.0,0.0,0.767699529720019,8000,1.3626692295074463
p20_phi0.1,9,local,3.0,0.9044354782978912,0.9224999994001042,0.8874999994453125,0,0.0,0.0,0.6672103897013468,8000,1.713334560394287
p20_phi0.1,10,local,5.6,0.8618734869953191,0.7782749855348752,0.9666666661296295,0,0.0,0.0,0.6372734201744603,8000,2.045294761657715
p20_phi0.1,11,local,4.2,0.8751050365474953,0.7964396280466152,0.9733333326844444,0,0.0,0.0,0.4414187597566744,8000,1.4024231433868408
p20_phi0.1,12,local,3.0,0.9233198326134551,0.8579220775127997,0.9999999994444444,0,0.0,0.0,0.6117773508951506,8000,1.3920323848724365
p20_phi0.1,13,local,12.2,0.7718522576520377,0.7270147536205267,0.8239999996704,0,0.0,0.0,0.4250559825010004,8000,3.972642183303833
p20_phi0.1,14,local,2.2,0.9458536530723439,0.9323809519279138,0.9599999995199999,0,0.0,0.0,0.5600444890758105,8000,2.001361846923828
