scenario,rep,method,SHD,F1,Precision,Recall,n_oriented,Dir_Prec,Dir_Rec,Dir_F1,Comm,Runtime
p20_K2,10,fedpc_oracle,26.0,0.6578947317555401,0.7575757573461891,0.581395348702001,15,0.19999999986666667,0.06976744184424012,0.10344827199167672,131.25,0.0014910697937011719
p20_K2,10,naive,27.0,0.6666666615211096,0.710526315602493,0.6279069765981612,0,0.0,0.0,0.0,131.25,0.00040459632873535156
p20_K2,10,local,27.5,0.640635675019278,0.7317290550398765,0.569767441727961,0,0.0,0.0,0.18954248064356777,131.25,4.665733814239502
p20_K2,11,centralized,21.0,0.7199999948302223,0.67499999983125,0.7714285712081632,17,0.7058823525259516,0.34285714275918366,0.46153845696005924,0.0,11.80881643295288
p20_K2,11,fedpc_consensus,21.0,0.7199999948302223,0.67499999983125,0.7714285712081632,27,0.40740740725651575,0.3142857141959184,0.35483870464620193,141.25,0.00199127197265625
p20_K2,11,fedpc_oracle,20.0,0.7297297245471146,0.6923076921301775,0.7714285712081632,27,0.40740740725651575,0.3142857141959184,0.35483870464620193,141.25,0.001758575439453125
p20_K2,11,naive,21.0,0.7199999948302223,0.67499999983125,0.7714285712081632,0,0.0,0.0,0.0,141.25,0.000377655029296875
p20_K2,11,local,21.5,0.7028930286929185,0.6794871793058295,0.7285714283632653,0,0.0,0.0,0.37499999589409727,141.25,1.6523380279541016
p20_K2,12,centralized,20.0,0.655172408567182,0.6551724135671819,0.6551724135671819,14,0.5714285710204081,0.2758620688703924,0.37209301869118444,0.0,20.0355441570282
p20_K2,12,fedpc_consensus,24.0,0.6129032206295526,0.5757575755831037,0.6551724135671819,19,0.4736842102770083,0.31034482747919145,0.37499999506076387,117.5,0.0021245479583740234
p20_K2,12,fedpc_oracle,21.0,0.6440677913932779,0.6333333331222222,0.6551724135671819,16,0.5624999996484374,0.31034482747919145,0.3999999952395062,117.5,0.0018019676208496094
p20_K2,12,naive,24.0,0.6129032206295526,0.5757575755831037,0.6551724135671819,0,0.0,0.0,0.0,117.5,0.0003573894500732422
p20_K2,12,local,22.0,0.6129429840073828,0.6243589741350756,0.6034482756539834,0,0.0,0.0,0.37289972446154185,117.5,2.3565175533294678
p20_K2,13,centralized,22.0,0.7317073118947056,0.7317073168947055,0.7317073168947055,7,0.8571428559183674,0.1463414633789411,0.24999999740451392,0.0,21.52381944656372
p20_K2,13,fedpc_consensus,22.0,0.7317073118947056,0.7317073168947055,0.7317073168947055,21,0.2857142855782313,0.1463414633789411,0.1935483825546307,142.5,0.00138092041015625
p20_K2,13,fedpc_oracle,22.0,0.724999994821875,0.7435897433990796,0.7073170729982153,20,0.249999999875,0.12195121948245093,0.16393442176834197,142.5,0.001512289047241211
p20_K2,13,naive,22.0,0.7317073118947056,0.7317073168947055,0.7317073168947055,0,0.0,0.0,0.0,142.5,0.0005686283111572266
p20_K2,13,local,22.0,0.7214743537998265,0.7501732499756537,0.6951219510499702,0,0.0,0.0,0.2570643610714702,142.5,2.535236120223999
p20_K2,14,centralized,23.0,0.6760563328466574,0.6486486484733381,0.705882352733564,9,0.5555555549382716,0.14705882348615917,0.23255813611681994,0.0,23.89978575706482
p20_K2,14,fedpc_consensus,27.0,0.6493506442502952,0.581395348702001,0.7352941174307959,18,0.16666666657407406,0.0882352940916955,0.11538461081360965,133.75,0.0012972354888916016
p20_K2,14,fedpc_oracle,21.0,0.6769230717254439,0.7096774191259105,0.6470588233391004,13,0.3846153843195266,0.14705882348615917,0.21276595335445908,133.75,0.0012886524200439453
p20_K2,14,naive,27.0,0.6493506442502952,0.581395348702001,0.7352941174307959,0,0.0,0.0,0.0,133.75,0.0004966259002685547
p20_K2,14,local,22.5,0.6717948666111788,0.6706281831640633,0.6764705880363322,0,0.0,0.0,0.18881505762204617,133.75,2.364290714263916
p20_K2,15,centralized,24.0,0.6923076871334649,0.710526315602493,0.67499999983125,8,0.7499999990624999,0.1499999999625,0.24999999711805557,0.0,15.303645133972168
p20_K2,15,fedpc_consensus,28.0,0.6585365802082096,0.6428571427040817,0.67499999983125,21,0.5238095235600907,0.27499999993125,0.36065573307175497,137.5,0.0019378662109375
p20_K2,15,fedpc_oracle,23.0,0.6933333281706667,0.742857142644898,0.6499999998375,25,0.639999999744,0.3999999999,0.4923076874224853,137.5,0.0019483566284179688
p20_K2,15,naive,28.0,0.6585365802082096,0.6428571427040817,0.67499999983125,0,0.0,0.0,0.0,137.5,0.00043654441833496094
p20_K2,15,local,24.0,0.6843289991637614,0.7227799225788405,0.6499999998375,0,0.0,0.0,0.377201724137743,137.5,2.2838823795318604
p20_K2,16,centralized,22.0,0.72499999481875,0.72499999981875,0.72499999981875,11,0.7272727266115702,0.19999999995,0.3137254866897347,0.0,17.405817985534668
p20_K2,16,fedpc_consensus,22.0,0.72499999481875,0.72499999981875,0.72499999981875,16,0.3124999998046875,0.12499999996875,0.1785714244260205,138.75,0.001672983169555664
p20_K2,16,fedpc_oracle,20.0,0.7435897384023668,0.763157894536011,0.72499999981875,17,0.3529411762629758,0.1499999999625,0.2105263115297015,138.75,0.0019905567169189453
p20_K2,16,naive,22.0,0.72499999481875,0.72499999981875,0.72499999981875,0,0.0,0.0,0.0,138.75,0.0007236003875732422
p20_K2,16,local,21.5,0.7184615332865167,0.7530075185904546,0.687499999828125,0,0.0,0.0,0.3047895463300971,138.75,2.3934528827667236
p20_K2,17,centralized,17.0,0.7848101213843935,0.77499999980625,0.7948717946679815,18,0.8333333328703704,0.3846153845167653,0.5263157849676824,0.0,20.894557237625122
p20_K2,17,fedpc_consensus,22.0,0.7380952329450114,0.6888888887358025,0.7948717946679815,26,0.6538461535946746,0.4358974357856673,0.5230769181159765,145.0,0.0023119449615478516
p20_K2,17,fedpc_oracle,21.0,0.734177210004807,0.72499999981875,0.7435897433990796,29,0.5862068963495838,0.4358974357856673,0.4999999949610728,145.0,0.002310037612915039
p20_K2,17,naive,22.0,0.7380952329450114,0.6888888887358025,0.7948717946679815,0,0.0,0.0,0.0,145.0,0.0008208751678466797
p20_K2,17,local,23.0,0.7047509400774583,0.704605262977242,0.705128204947403,0,0.0,0.0,0.4617844535979246,145.0,2.265782356262207
p20_K2,18,centralized,23.0,0.7415730285923495,0.6734693876176593,0.8249999997937499,13,0.8461538455029586,0.27499999993125,0.4150943357636171,0.0,20.82174515724182
p20_K2,18,fedpc_consensus,21.0,0.7640449386996592,0.6938775508788005,0.8499999997875,17,0.7058823525259516,0.299999999925,0.4210526272453063,150.0,0.0014865398406982422
