scenario,method,SHD_mean,SHD_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Dir_F1_mean,Dir_F1_std,Dir_Prec_mean,Dir_Prec_std,Dir_Rec_mean,Dir_Rec_std,n_oriented_mean,n_oriented_std,Comm_mean,Comm_std,Runtime_mean,Runtime_std
p20_phi0.1,centralized,4.55,3.398161267509239,0.8918811965315815,0.06275085278666866,0.8255720189778758,0.09081297278500174,0.9748465104570327,0.03916598539399965,0.6243054170670673,0.12522744275267214,0.7790169326582131,0.13879827531491368,0.5281748330684544,0.1281367522389453,12.5,4.006245124802026,0.0,0.0,2.094035601615906,1.8368282485642264
p20_phi0.1,local,4.470000000000001,3.251630360296201,0.8897514938186329,0.06189761886530622,0.847075844319544,0.07290224950227565,0.9414937117277564,0.06559992404322322,0.6020568012747027,0.10777065473175192,0.0,0.0,0.0,0.0,0.0,0.0,244.9375,27.175572096093948,1.6721393704414367,0.6722173117386773
p20_phi0.1,naive,2.85,2.8857408061016154,0.9330651651592257,0.060148064817547586,0.9205245729223206,0.07226442418045816,0.9486622306002188,0.06543207947373972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.9375,27.175572096093948,0.0003975033760070801,0.00019188244929999385
p20_phi0.1,fedpc_consensus,2.85,2.8857408061016154,0.9330651651592257,0.060148064817547586,0.9205245729223206,0.07226442418045816,0.9486622306002188,0.06543207947373972,0.23596569652826963,0.19438972715805333,0.36605040731749905,0.27721229774828526,0.19693306220794993,0.18414743223643754,8.0,7.602631123499285,244.9375,27.175572096093948,0.0023157477378845217,0.0008753031732465748
p20_phi0.1,fedpc_oracle,2.85,2.8857408061016154,0.9330651651592257,0.060148064817547586,0.9205245729223206,0.07226442418045816,0.9486622306002188,0.06543207947373972,0.23596569652826963,0.19438972715805333,0.36605040731749905,0.27721229774828526,0.19693306220794993,0.18414743223643754,8.0,7.602631123499285,244.9375,27.175572096093948,0.0019148707389831543,0.000485289866688999
p20_phi0.2,centralized,22.8,10.151847122568384,0.7071175740441519,0.1027699128745533,0.687700320461197,0.09907165522871986,0.7331664008636418,0.12054527058434943,0.36319176452158347,0.1848443901657309,0.6987480242264315,0.18575554548933398,0.2581333491727575,0.15985106855473577,12.0,4.358898943540674,0.0,0.0,24.781385731697082,15.615826075759868
p20_phi0.2,local,22.53,8.898601013642539,0.6731332071442326,0.10432242219848975,0.733834217914198,0.08581714642204744,0.6279467881077705,0.12443383094665646,0.3509543728725292,0.14580233780287238,0.0,0.0,0.0,0.0,0.0,0.0,310.8125,21.514076060802612,5.249102306365967,1.984400305147064
p20_phi0.2,naive,21.5,9.378166132032424,0.6829221565469826,0.11488728873609577,0.7607139406882982,0.09858758565983672,0.6262366862061309,0.13372681952941293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.8125,21.514076060802612,0.0005009174346923828,0.0001714025639165946
p20_phi0.2,fedpc_consensus,21.5,9.378166132032424,0.6829221565469826,0.11488728873609577,0.7607139406882982,0.09858758565983672,0.6262366862061309,0.13372681952941293,0.2783219935081115,0.09175831082778699,0.43495306566218284,0.09822948201526759,0.2152802910069823,0.09290248010661015,17.65,5.685727745856286,310.8125,21.514076060802612,0.0034592032432556154,0.0013180227103735305
p20_phi0.2,fedpc_oracle,21.5,9.378166132032424,0.6829221565469826,0.11488728873609577,0.7607139406882982,0.09858758565983672,0.6262366862061309,0.13372681952941293,0.2783219935081115,0.09175831082778699,0.43495306566218284,0.09822948201526759,0.2152802910069823,0.09290248010661015,17.65,5.685727745856286,310.8125,21.514076060802612,0.0030672550201416016,0.0012917029601951819
p20_hetero_None,centralized,25.25,8.909966329902712,0.689173536687316,0.08929503124887819,0.6827400403982138,0.07728803123274282,0.7003226946225058,0.11505455697311216,0.3698098756931486,0.13971861513278927,0.69599138400677,0.16028788734353755,0.26457663323233827,0.12483469390745548,14.4,4.789572005931218,0.0,0.0,28.070749151706696,16.07021287668396
p20_hetero_None,local,25.029999999999998,6.7732636151267585,0.6567574902562423,0.07298606970256415,0.725278854129433,0.05680679245929033,0.6054750776223361,0.09486616481139719,0.33112026506302805,0.10688016106425773,0.0,0.0,0.0,0.0,0.0,0.0,322.5625,21.401938434403554,5.759947919845581,1.9505792237841448
p20_hetero_None,naive,23.8,6.9180922225711905,0.6661163706056197,0.08240705208585056,0.7560787697876089,0.06665591386299506,0.6017186245460218,0.10700351409816129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.5625,21.401938434403554,0.00056304931640625,0.00026394690220172244
p20_hetero_None,fedpc_consensus,23.8,6.9180922225711905,0.6661163706056197,0.08240705208585056,0.7560787697876089,0.06665591386299506,0.6017186245460218,0.10700351409816129,0.3303677610209836,0.09227975579074808,0.5142649794723679,0.09534050766835395,0.24747419846360494,0.08383262235981054,18.3,2.5903667693977237,322.5625,21.401938434403554,0.003325045108795166,0.0007398608707027147
p20_hetero_None,fedpc_oracle,23.8,6.9180922225711905,0.6661163706056197,0.08240705208585056,0.7560787697876089,0.06665591386299506,0.6017186245460218,0.10700351409816129,0.3303677610209836,0.09227975579074808,0.5142649794723679,0.09534050766835395,0.24747419846360494,0.08383262235981054,18.3,2.5903667693977237,322.5625,21.401938434403554,0.0029107809066772463,0.000599534775766122
p20_hetero_mild,centralized,21.45,8.794742747801097,0.7289184210954437,0.09249651452888227,0.7083774452393223,0.09807993406166965,0.7552635476386661,0.10324061978717071,0.40407092037883147,0.12292655937147035,0.6831734927018477,0.1243870560283983,0.29648933571253533,0.1163501864254013,15.65,4.015905875391005,0.0,0.0,23.474255645275115,12.447788037782548
p20_hetero_mild,local,21.609999999999996,7.820607393291137,0.6943882247271478,0.09154116051977011,0.7527748368337124,0.09027898056971345,0.649402693560904,0.10295381235421633,0.35494422498374123,0.094225954282324,0.0,0.0,0.0,0.0,0.0,0.0,318.375,19.961290664683986,5.049779605865479,1.612746330392323
p20_hetero_mild,naive,20.55,8.096141056083447,0.7037005208576338,0.09864297664803265,0.7824732146344866,0.10544426295546477,0.6444507599558039,0.10763469564839608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.375,19.961290664683986,0.0006403565406799316,0.00041514662231195454
p20_hetero_mild,fedpc_consensus,20.55,8.096141056083447,0.7037005208576338,0.09864297664803265,0.7824732146344866,0.10544426295546477,0.6444507599558039,0.10763469564839608,0.33257114106906316,0.0985501314726238,0.5040426618301096,0.11777639660983429,0.2603058859030464,0.09799588219461221,19.1,5.838664230798,318.375,19.961290664683986,0.0034317612648010255,0.0006558694487794621
p20_hetero_mild,fedpc_oracle,20.55,8.096141056083447,0.7037005208576338,0.09864297664803265,0.7824732146344866,0.10544426295546477,0.6444507599558039,0.10763469564839608,0.33257114106906316,0.0985501314726238,0.5040426618301096,0.11777639660983429,0.2603058859030464,0.09799588219461221,19.1,5.838664230798,318.375,19.961290664683986,0.0033450722694396973,0.0010121028831341532
