rep,client,SHD,F1,Precision,Recall
16,4,10,0.8333333280555557,0.8333333330555556,0.8333333330555556
17,0,13,0.77192981929209,0.7857142854336735,0.7586206893935791
17,1,12,0.7777777725171467,0.839999999664,0.72413793078478
17,2,13,0.7547169758917766,0.8333333329861111,0.6896551721759809
17,3,19,0.6666666614342874,0.6785714283290816,0.6551724135671819
17,4,15,0.7368421000061557,0.7499999997321428,0.72413793078478
18,0,20,0.6874999947851562,0.6874999997851562,0.6874999997851562
18,1,13,0.7999999947550297,0.7878787876400367,0.8124999997460938
18,2,14,0.7812499947558595,0.7812499997558594,0.7812499997558594
18,3,19,0.6984126931922399,0.7096774191259105,0.6874999997851562
18,4,17,0.7301587249281934,0.7419354836316336,0.7187499997753906
19,0,9,0.8474576218328067,0.8333333330555556,0.8620689652199762
19,1,15,0.7368421000061557,0.7499999997321428,0.72413793078478
19,2,20,0.6428571376339286,0.666666666419753,0.6206896549583829
19,3,12,0.7931034430023782,0.7931034480023781,0.7931034480023781
19,4,20,0.655172408567182,0.6551724135671819,0.6551724135671819
