rep,target,SHD,F1,Precision,Recall
7,base_dag,24,0.6571428521020409,0.7931034480023781,0.5609756096192743
7,union,24,0.6571428521020409,0.7931034480023781,0.5609756096192743
7,intersection,25,0.5901639292448269,0.6206896549583829,0.5624999998242187
7,prevalence50,24,0.6571428521020409,0.7931034480023781,0.5609756096192743
8,base_dag,15,0.7692307640047338,0.8064516126430801,0.7352941174307959
8,union,15,0.7692307640047338,0.8064516126430801,0.7352941174307959
8,intersection,16,0.7142857090880104,0.6451612901144641,0.79999999968
8,prevalence50,15,0.7692307640047338,0.8064516126430801,0.7352941174307959
9,base_dag,20,0.7058823477378894,0.7272727270523416,0.6857142855183673
9,union,20,0.7058823477378894,0.7272727270523416,0.6857142855183673
9,intersection,26,0.5517241328359097,0.48484848470156106,0.639999999744
9,prevalence50,20,0.7058823477378894,0.7272727270523416,0.6857142855183673
10,base_dag,27,0.6086956471749633,0.7499999997321428,0.5121951218262939
10,union,27,0.6086956471749633,0.7499999997321428,0.5121951218262939
10,intersection,27,0.5573770440311746,0.6071428569260204,0.5151515149954086
10,prevalence50,27,0.6086956471749633,0.7499999997321428,0.5121951218262939
11,base_dag,24,0.6666666616705247,0.8275862066111771,0.558139534753921
11,union,24,0.6666666616705247,0.8275862066111771,0.558139534753921
11,intersection,27,0.5423728761735134,0.5517241377407848,0.5333333331555555
11,prevalence50,24,0.6666666616705247,0.8275862066111771,0.558139534753921
12,base_dag,21,0.6956521687964713,0.7999999997333334,0.6153846152268244
12,union,21,0.6956521687964713,0.7999999997333334,0.6153846152268244
12,intersection,17,0.7213114701746842,0.7333333330888888,0.7096774191259105
12,prevalence50,21,0.6956521687964713,0.7999999997333334,0.6153846152268244
13,base_dag,13,0.8311688259605331,0.8648648646311176,0.7999999998
13,union,13,0.8311688259605331,0.8648648646311176,0.7999999998
13,intersection,15,0.7826086904515859,0.7297297295325055,0.8437499997363281
13,prevalence50,12,0.8421052579397507,0.8648648646311176,0.8205128203024326
14,base_dag,30,0.5714285664653063,0.7142857140306123,0.47619047607709747
14,union,30,0.5714285664653063,0.7142857140306123,0.47619047607709747
14,intersection,28,0.5333333281777777,0.5714285712244898,0.49999999984375
14,prevalence50,30,0.5714285664653063,0.7142857140306123,0.47619047607709747
15,base_dag,22,0.6666666615381084,0.7586206893935791,0.5945945944338933
15,union,22,0.6666666615381084,0.7586206893935791,0.5945945944338933
15,intersection,22,0.6071428519323979,0.5862068963495838,0.6296296293964334
15,prevalence50,22,0.6666666615381084,0.7586206893935791,0.5945945944338933
16,base_dag,13,0.7868852406557377,0.8275862066111771,0.749999999765625
16,union,13,0.7868852406557377,0.8275862066111771,0.749999999765625
16,intersection,15,0.7058823477585545,0.6206896549583829,0.8181818178099173
16,prevalence50,13,0.7868852406557377,0.8275862066111771,0.749999999765625
17,base_dag,12,0.7857142804910714,0.879999999648,0.7096774191259105
17,union,12,0.7857142804910714,0.879999999648,0.7096774191259105
17,intersection,12,0.7499999946961806,0.719999999712,0.7826086953119092
17,prevalence50,12,0.7857142804910714,0.879999999648,0.7096774191259105
18,base_dag,15,0.7540983554743349,0.8518518515363511,0.6764705880363322
18,union,15,0.7540983554743349,0.8518518515363511,0.6764705880363322
18,intersection,18,0.653846148602071,0.6296296293964334,0.679999999728
18,prevalence50,15,0.7540983554743349,0.8518518515363511,0.6764705880363322
19,base_dag,13,0.779661011697788,0.8214285711352041,0.7419354836316336
19,union,13,0.779661011697788,0.8214285711352041,0.7419354836316336
19,intersection,19,0.627450975194156,0.5714285712244898,0.695652173610586
19,prevalence50,13,0.779661011697788,0.8214285711352041,0.7419354836316336
