scenario_id,replicate_id,method,evaluation_unit,evaluation_target,p,N,K,tau,edge_prob,ell,noise_regime,mechanism_shift,deletion_probability,alpha,sep_tau_factor,master_seed,replicate_seed,client_seeds,SHD,F1,Precision,Recall,n_oriented,Dir_Prec,Dir_Rec,Dir_F1,communication_bytes,runtime_sum,runtime_parallel_est,server_runtime,n_clients_timed,client_weights,note,n_sepset_pairs_retained
scale_p30_845b4d4967,1,local,mean_local_graph,true_dag,30,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3678894355,"[1886932286, 234938927, 2563486251, 1677718366, 228410887]",73.0,0.4082629352534898,0.7125939334443683,0.2863636363310951,0,0.0,0.0,0.22325883690214968,1379.375,71.28626441955566,14.613845825195312,0.008458852767944336,5,,,
scale_p30_845b4d4967,1,naive,global_graph,true_dag,30,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3678894355,"[1886932286, 234938927, 2563486251, 1677718366, 228410887]",71.0,0.4227642235018839,0.742857142644898,0.2954545454209711,0,0.0,0.0,0.0,1379.375,71.27845764160156,14.606039047241211,0.0006520748138427734,5,"[0.2, 0.2, 0.2, 0.2, 0.2]","n_oriented=0 / Dir_F1=0 BY CONSTRUCTION (no Sepsets passed to orientation) -- definitional, not independent evidence of a weighting effect; see factorial ablation for that comparison.",
scale_p30_845b4d4967,1,fedpc_consensus,global_graph,true_dag,30,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3678894355,"[1886932286, 234938927, 2563486251, 1677718366, 228410887]",71.0,0.4227642235018839,0.742857142644898,0.2954545454209711,25,0.559999999776,0.15909090907283058,0.2477876071297674,1379.375,71.28679251670837,14.614373922348022,0.008986949920654297,5,"[0.19201345959103613, 0.20172673104313865, 0.203722923816466, 0.18624411365312057, 0.21629277189623874]",,808.0
scale_p30_845b4d4967,1,fedpc_oracle,global_graph,true_dag,30,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3678894355,"[1886932286, 234938927, 2563486251, 1677718366, 228410887]",71.0,0.4227642235018839,0.742857142644898,0.2954545454209711,25,0.559999999776,0.15909090907283058,0.2477876071297674,1379.375,71.28630065917969,14.613882064819336,0.008495092391967773,5,"[0.19178568692351128, 0.2201621408611827, 0.18862877494602615, 0.18862877494602615, 0.21079462232325374]","ablation only -- requires ground truth, not deployable",808.0
scale_p30_845b4d4967,2,centralized,global_graph,true_dag,30,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,340435984,"[456993746, 3296403709, 3823674936, 3821223963, 1952631393]",91.0,0.31578946983096845,0.6176470586418685,0.21212121209978574,30,0.3999999998666667,0.12121212119987756,0.1860465080295656,0.0,524.0707602500916,524.0707602500916,0.0,1,,,
scale_p30_845b4d4967,2,local,mean_local_graph,true_dag,30,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,340435984,"[456993746, 3296403709, 3823674936, 3821223963, 1952631393]",86.0,0.34633012702938576,0.701632710591962,0.23030303027976737,0,0.0,0.0,0.1661953691989851,1746.875,109.34821772575378,23.336652517318726,0.01057577133178711,5,,,
scale_p30_845b4d4967,2,naive,global_graph,true_dag,30,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,340435984,"[456993746, 3296403709, 3823674936, 3821223963, 1952631393]",85.0,0.34108526769545106,0.7333333330888888,0.22222222219977555,0,0.0,0.0,0.0,1746.875,109.33837556838989,23.326810359954834,0.0007336139678955078,5,"[0.2, 0.2, 0.2, 0.2, 0.2]","n_oriented=0 / Dir_F1=0 BY CONSTRUCTION (no Sepsets passed to orientation) -- definitional, not independent evidence of a weighting effect; see factorial ablation for that comparison.",
scale_p30_845b4d4967,2,fedpc_consensus,global_graph,true_dag,30,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,340435984,"[456993746, 3296403709, 3823674936, 3821223963, 1952631393]",85.0,0.34108526769545106,0.7333333330888888,0.22222222219977555,25,0.439999999824,0.11111111109988778,0.17741935159079092,1746.875,109.35067534446716,23.339110136032104,0.013033390045166016,5,"[0.1767565044167585, 0.1914244554640743, 0.19778584543401304, 0.23540171842747581, 0.1986314762576783]",,816.0
scale_p30_845b4d4967,2,fedpc_oracle,global_graph,true_dag,30,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,340435984,"[456993746, 3296403709, 3823674936, 3821223963, 1952631393]",85.0,0.34108526769545106,0.7333333330888888,0.22222222219977555,25,0.439999999824,0.11111111109988778,0.17741935159079092,1746.875,109.35166096687317,23.34009575843811,0.014019012451171875,5,"[0.2211725888647897, 0.20790330173915267, 0.15481385228931654, 0.19317830891159035, 0.22293194819515072]","ablation only -- requires ground truth, not deployable",816.0
scale_p50_7dd1d9eadd,0,centralized,global_graph,true_dag,50,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,1213452750,"[2799248203, 4056713104, 781307174, 1590571337, 900110911]",217.0,0.26936026615832853,0.6779661015800057,0.16806722688369466,46,0.49999999989130434,0.09663865545812442,0.1619718282597699,0.0,1308.7035636901855,1308.7035636901855,0.0,1,,,
